scope,capacity_fraction,reviewed,known_illicit,known_licit,unknown,precision_at_k_known,recall_at_k_known,precision_lower_bound_all,precision_upper_bound_all,experiment_id,split
labeled_only,0.01,117,47,70,0,0.4017094017094017,0.07389937106918239,0.4017094017094017,0.4017094017094017,extended_xgboost_tx,test
labeled_only,0.02,229,94,135,0,0.4104803493449782,0.14779874213836477,0.4104803493449782,0.4104803493449782,extended_xgboost_tx,test
labeled_only,0.05,564,230,334,0,0.4078014184397163,0.36163522012578614,0.4078014184397163,0.4078014184397163,extended_xgboost_tx,test
labeled_only,0.1,1125,382,743,0,0.33955555555555555,0.60062893081761,0.33955555555555555,0.33955555555555555,extended_xgboost_tx,test
labeled_only,0.2,2243,445,1798,0,0.19839500668747215,0.699685534591195,0.19839500668747215,0.19839500668747215,extended_xgboost_tx,test
all_transactions,0.01,471,62,3,406,0.9538461538461539,0.09748427672955975,0.1316348195329087,0.9936305732484076,extended_xgboost_tx,test
all_transactions,0.02,938,164,4,770,0.9761904761904762,0.2578616352201258,0.17484008528784648,0.9957356076759062,extended_xgboost_tx,test
all_transactions,0.05,2337,312,59,1966,0.8409703504043127,0.49056603773584906,0.13350449293966624,0.9747539580658965,extended_xgboost_tx,test
all_transactions,0.1,4670,363,289,4018,0.5567484662576687,0.5707547169811321,0.07773019271948609,0.9381156316916488,extended_xgboost_tx,test
all_transactions,0.2,9333,402,776,8155,0.34125636672325976,0.6320754716981132,0.043072966891674704,0.9168541733633344,extended_xgboost_tx,test
labeled_only,0.01,96,95,1,0,0.9895833333333334,0.09152215799614644,0.9895833333333334,0.9895833333333334,extended_xgboost_graph,validation
labeled_only,0.02,185,179,6,0,0.9675675675675676,0.1724470134874759,0.9675675675675676,0.9675675675675676,extended_xgboost_graph,validation
labeled_only,0.05,456,394,62,0,0.8640350877192983,0.37957610789980734,0.8640350877192983,0.8640350877192983,extended_xgboost_graph,validation
labeled_only,0.1,905,655,250,0,0.7237569060773481,0.6310211946050096,0.7237569060773481,0.7237569060773481,extended_xgboost_graph,validation
labeled_only,0.2,1804,938,866,0,0.5199556541019955,0.9036608863198459,0.5199556541019955,0.5199556541019955,extended_xgboost_graph,validation
all_transactions,0.01,368,189,1,178,0.9947368421052631,0.18208092485549132,0.5135869565217391,0.9972826086956522,extended_xgboost_graph,validation
all_transactions,0.02,732,327,3,402,0.990909090909091,0.315028901734104,0.44672131147540983,0.9959016393442623,extended_xgboost_graph,validation
all_transactions,0.05,1821,673,18,1130,0.9739507959479016,0.6483622350674374,0.36957715540911584,0.9901153212520593,extended_xgboost_graph,validation
all_transactions,0.1,3637,897,125,2615,0.8776908023483366,0.8641618497109826,0.24663183942810007,0.9656310145724498,extended_xgboost_graph,validation
all_transactions,0.2,7269,984,406,5879,0.7079136690647482,0.9479768786127167,0.13536937680561287,0.9441463750171963,extended_xgboost_graph,validation
labeled_only,0.01,117,47,70,0,0.4017094017094017,0.07389937106918239,0.4017094017094017,0.4017094017094017,extended_xgboost_graph,test
labeled_only,0.02,229,94,135,0,0.4104803493449782,0.14779874213836477,0.4104803493449782,0.4104803493449782,extended_xgboost_graph,test
labeled_only,0.05,564,230,334,0,0.4078014184397163,0.36163522012578614,0.4078014184397163,0.4078014184397163,extended_xgboost_graph,test
labeled_only,0.1,1125,390,735,0,0.3466666666666667,0.6132075471698113,0.3466666666666667,0.3466666666666667,extended_xgboost_graph,test
labeled_only,0.2,2243,445,1798,0,0.19839500668747215,0.699685534591195,0.19839500668747215,0.19839500668747215,extended_xgboost_graph,test
all_transactions,0.01,471,82,3,386,0.9647058823529412,0.1289308176100629,0.1740976645435244,0.9936305732484076,extended_xgboost_graph,test
all_transactions,0.02,938,169,5,764,0.9712643678160919,0.26572327044025157,0.18017057569296374,0.9946695095948828,extended_xgboost_graph,test
all_transactions,0.05,2337,313,68,1956,0.821522309711286,0.4921383647798742,0.1339323919554985,0.9709028669234061,extended_xgboost_graph,test
all_transactions,0.1,4670,368,260,4042,0.5859872611464968,0.5786163522012578,0.07880085653104925,0.9443254817987152,extended_xgboost_graph,test
all_transactions,0.2,9333,403,747,8183,0.35043478260869565,0.6336477987421384,0.04318011357548484,0.9199614271938283,extended_xgboost_graph,test
